"¥éË""Plot Title: Logger 2""",,,,,
#,"Date Time, GMT+02:00","K-Type, ŒÁC (LGR S/N: 10297654, SEN S/N: 10297654, LBL: TempFire)",,,End Of File (LGR S/N: 10297654)
400,10/03/2014 07:06:39,-888.88,,,
401,10/03/2014 07:06:40,-888.88,,,
402,10/03/2014 07:06:41,-888.88,,,
403,10/03/2014 07:06:42,-888.88,,,
404,10/03/2014 07:06:43,-888.88,,,
405,10/03/2014 07:06:44,-888.88,,,
406,10/03/2014 07:06:45,-888.88,,,
407,10/03/2014 07:06:46,-888.88,,,
408,10/03/2014 07:06:47,-888.88,,,
409,10/03/2014 07:06:48,-888.88,,,
410,10/03/2014 07:06:49,-888.88,,,
411,10/03/2014 07:06:50,-888.88,,,
412,10/03/2014 07:06:51,-888.88,,,
413,10/03/2014 07:06:52,-888.88,,,
414,10/03/2014 07:06:53,-888.88,,,
415,10/03/2014 07:06:54,-888.88,,,
416,10/03/2014 07:06:55,-888.88,,,
417,10/03/2014 07:06:56,-888.88,,,
418,10/03/2014 07:06:57,-888.88,,,
419,10/03/2014 07:06:58,-888.88,,,
420,10/03/2014 07:06:59,-888.88,,,
421,10/03/2014 07:07:00,-888.88,,,
422,10/03/2014 07:07:01,-888.88,,,
423,10/03/2014 07:07:02,-888.88,,,
424,10/03/2014 07:07:03,-888.88,,,
425,10/03/2014 07:07:04,-888.88,,,
426,10/03/2014 07:07:05,-888.88,,,
427,10/03/2014 07:07:06,-888.88,,,
428,10/03/2014 07:07:07,-888.88,,,
429,10/03/2014 07:07:08,-888.88,,,
430,10/03/2014 07:07:09,-888.88,,,
431,10/03/2014 07:07:10,-888.88,,,
432,10/03/2014 07:07:11,-888.88,,,
433,10/03/2014 07:07:12,-888.88,,,
434,10/03/2014 07:07:13,-888.88,,,
435,10/03/2014 07:07:14,-888.88,,,
436,10/03/2014 07:07:15,-888.88,,,
437,10/03/2014 07:07:16,-888.88,,,
438,10/03/2014 07:07:17,-888.88,,,
439,10/03/2014 07:07:18,-888.88,,,
440,10/03/2014 07:07:19,-888.88,,,
441,10/03/2014 07:07:20,-888.88,,,
442,10/03/2014 07:07:21,-888.88,,,
443,10/03/2014 07:07:22,-888.88,,,
444,10/03/2014 07:07:23,-888.88,,,
445,10/03/2014 07:07:24,-888.88,,,
446,10/03/2014 07:07:25,-888.88,,,
447,10/03/2014 07:07:26,-888.88,,,
448,10/03/2014 07:07:27,-888.88,,,
449,10/03/2014 07:07:28,-888.88,,,
450,10/03/2014 07:07:29,-888.88,,,
451,10/03/2014 07:07:30,-888.88,,,
452,10/03/2014 07:07:31,-888.88,,,
453,10/03/2014 07:07:32,-888.88,,,
454,10/03/2014 07:07:33,-888.88,,,
455,10/03/2014 07:07:34,-888.88,,,
456,10/03/2014 07:07:35,-888.88,,,
457,10/03/2014 07:07:36,-888.88,,,
458,10/03/2014 07:07:37,-888.88,,,
459,10/03/2014 07:07:38,-888.88,,,
460,10/03/2014 07:07:39,-888.88,,,
461,10/03/2014 07:07:40,-888.88,,,
462,10/03/2014 07:07:41,-888.88,,,
463,10/03/2014 07:07:42,-888.88,,,
464,10/03/2014 07:07:43,-888.88,,,
465,10/03/2014 07:07:44,-888.88,,,
466,10/03/2014 07:07:45,-888.88,,,
467,10/03/2014 07:07:46,-888.88,,,
468,10/03/2014 07:07:47,-888.88,,,
469,10/03/2014 07:07:48,-888.88,,,
470,10/03/2014 07:07:49,-888.88,,,
471,10/03/2014 07:07:50,-888.88,,,
472,10/03/2014 07:07:51,-888.88,,,
473,10/03/2014 07:07:52,-888.88,,,
474,10/03/2014 07:07:53,-888.88,,,
475,10/03/2014 07:07:54,-888.88,,,
476,10/03/2014 07:07:55,-888.88,,,
477,10/03/2014 07:07:56,-888.88,,,
478,10/03/2014 07:07:57,-888.88,,,
479,10/03/2014 07:07:58,-888.88,,,
480,10/03/2014 07:07:59,-888.88,,,
481,10/03/2014 07:08:00,-888.88,,,
482,10/03/2014 07:08:01,-888.88,,,
483,10/03/2014 07:08:02,-888.88,,,
484,10/03/2014 07:08:03,-888.88,,,
485,10/03/2014 07:08:04,-888.88,,,
486,10/03/2014 07:08:05,-888.88,,,
487,10/03/2014 07:08:06,-888.88,,,
488,10/03/2014 07:08:07,-888.88,,,
489,10/03/2014 07:08:08,-888.88,,,
490,10/03/2014 07:08:09,-888.88,,,
491,10/03/2014 07:08:10,-888.88,,,
492,10/03/2014 07:08:11,-888.88,,,
493,10/03/2014 07:08:12,-888.88,,,
494,10/03/2014 07:08:13,-888.88,,,
495,10/03/2014 07:08:14,-888.88,,,
496,10/03/2014 07:08:15,-888.88,,,
497,10/03/2014 07:08:16,-888.88,,,
498,10/03/2014 07:08:17,-888.88,,,
499,10/03/2014 07:08:18,-888.88,,,
500,10/03/2014 07:08:19,-888.88,,,
501,10/03/2014 07:08:20,-888.88,,,
502,10/03/2014 07:08:21,-888.88,,,
503,10/03/2014 07:08:22,-888.88,,,
504,10/03/2014 07:08:23,-888.88,,,
505,10/03/2014 07:08:24,-888.88,,,
506,10/03/2014 07:08:25,-888.88,,,
507,10/03/2014 07:08:26,-888.88,,,
508,10/03/2014 07:08:27,-888.88,,,
509,10/03/2014 07:08:28,-888.88,,,
510,10/03/2014 07:08:29,-888.88,,,
511,10/03/2014 07:08:30,-888.88,,,
512,10/03/2014 07:08:31,-888.88,,,
513,10/03/2014 07:08:32,-888.88,,,
514,10/03/2014 07:08:33,-888.88,,,
515,10/03/2014 07:08:34,-888.88,,,
516,10/03/2014 07:08:35,-888.88,,,
517,10/03/2014 07:08:36,-888.88,,,
518,10/03/2014 07:08:37,-888.88,,,
519,10/03/2014 07:08:38,-888.88,,,
520,10/03/2014 07:08:39,-888.88,,,
521,10/03/2014 07:08:40,-888.88,,,
522,10/03/2014 07:08:41,-888.88,,,
523,10/03/2014 07:08:42,-888.88,,,
524,10/03/2014 07:08:43,-888.88,,,
525,10/03/2014 07:08:44,-888.88,,,
526,10/03/2014 07:08:45,-888.88,,,
527,10/03/2014 07:08:46,-888.88,,,
528,10/03/2014 07:08:47,-888.88,,,
529,10/03/2014 07:08:48,-888.88,,,
530,10/03/2014 07:08:49,-888.88,,,
531,10/03/2014 07:08:50,-888.88,,,
532,10/03/2014 07:08:51,-888.88,,,
533,10/03/2014 07:08:52,-888.88,,,
534,10/03/2014 07:08:53,-888.88,,,
